timestamp,outside_t,fan_pct,mixer_pct,mixer_area_cm2,mixer_area_m2,air_velocity_m_s,volumetric_flow_m3_s,mass_flow_kg_s
2026-07-21T08:08:08.329Z,32.548,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:13.328Z,32.605,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:18.326Z,32.607,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:23.327Z,32.603,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:28.330Z,32.615,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:33.327Z,32.66,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:38.324Z,32.691,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:43.325Z,32.711,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:48.327Z,32.736,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:53.333Z,32.7,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:08:58.332Z,32.631,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:03.328Z,32.63,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:08.334Z,32.544,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:13.334Z,32.528,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:18.327Z,32.503,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:23.337Z,32.482,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:28.338Z,32.508,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:33.327Z,32.567,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:38.326Z,32.567,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:43.331Z,32.596,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:48.328Z,32.596,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:53.335Z,32.588,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:09:58.328Z,32.616,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:03.335Z,32.617,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:08.328Z,32.594,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:13.341Z,32.607,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:18.323Z,32.605,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:23.329Z,32.612,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:28.324Z,32.636,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:33.362Z,32.598,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:38.323Z,32.662,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:43.324Z,32.661,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:48.329Z,32.628,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:53.328Z,32.628,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:10:58.329Z,32.607,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:03.328Z,32.607,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:08.325Z,32.679,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:13.331Z,32.679,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:18.338Z,32.718,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:23.331Z,32.759,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:28.328Z,32.743,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:33.329Z,32.711,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:38.330Z,32.72,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:43.324Z,32.738,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:48.337Z,32.783,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:53.334Z,32.787,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:11:58.324Z,32.84,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:03.331Z,32.805,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:08.331Z,32.815,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:13.325Z,32.866,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:18.332Z,32.859,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:23.327Z,32.855,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:28.334Z,32.835,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:33.331Z,32.835,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:38.334Z,32.823,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:43.336Z,32.823,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:48.330Z,32.859,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:53.323Z,32.859,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:12:58.335Z,32.821,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:03.325Z,32.816,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:08.328Z,32.735,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:13.325Z,32.696,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:18.329Z,32.702,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:23.327Z,32.714,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:28.338Z,32.672,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:33.338Z,32.653,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:38.324Z,32.709,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:43.331Z,32.719,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:48.324Z,32.735,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:53.333Z,32.756,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:13:58.340Z,32.779,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:14:03.326Z,32.831,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:14:08.332Z,32.831,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:14:13.330Z,32.826,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:14:18.326Z,32.82,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:14:23.331Z,32.875,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
2026-07-21T08:14:28.329Z,32.863,69,0,0,0.0,8.74,0.08305899737193374,0.09967079684632049
