timestamp,outside_t,outside_h,outside_c,outside_p,outside_a,outside_v,room_1_t,room_1_h,room_1_c,room_1_p,room_1_a,room_1_v,room_2_t,room_2_h,room_2_c,room_2_p,room_2_a,room_2_v,room_3_t,room_3_h,room_3_c,room_3_p,room_3_a,room_3_v,supply_t,supply_h,supply_c,supply_p,supply_a,supply_v,return_t,return_h,return_c,return_p,return_a,return_v,mixed_t,mixed_h,mixed_c,mixed_p,mixed_a,mixed_v,cooler_t,cooler_h,cooler_c,cooler_p,cooler_a,cooler_v,heated_t,heated_h,heated_c,heated_p,heated_a,heated_v,mixer,fan,flowrate,coolerState,heaterState,humidifierState,T_z_weighted,RH_z_weighted,CO2_z_weighted,m_sa_kgs
2026-07-31T03:36:43.158Z,28.912813424053567,73.75301956456994,429.0692766785273,0,1,50,24.401955802414022,66.21398672308358,,955.4,0,0,28.00682796820991,61.49631736883165,434.6840423709679,0,1,38,,,,0,0,0,18.04765171074943,75.99860040718451,438.05861499049695,0,1,44,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84390466873237,64.32691898138282,434.6840423709679,0.0615814991956671
2026-07-31T03:36:48.158Z,28.92153208164821,73.73771760811294,429.86234901067456,0,1,40,24.401760222172623,66.11258805077522,,955.4,0,0,28.006145171388923,61.41668563194848,434.41563813387114,0,1,38,,,,0,0,0,18.03288653967449,76.05874036646605,438.25275349144727,0,1,42,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.843514201859143,64.23422708324452,434.41563813387114,0.0615814991956671
2026-07-31T03:36:53.157Z,28.929378873483387,73.76394584730166,429.4761141096071,0,1,35,24.40158419995536,66.0113292456977,,955.3,0,0,28.00553065425003,61.33501706875364,435.87407432048406,0,1,46,,,,0,0,0,18.01959788570704,76.11286632981945,438.32747814230254,0,1,42,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84316278167323,64.14080437492007,435.87407432048406,0.0615814991956671
2026-07-31T03:36:58.157Z,28.936440986135047,73.8175512625715,430.32850269864645,0,1,41,24.401425779959823,65.91019632112793,,955.3,0,0,28.004977588825028,61.25151536187828,436.68666688843564,0,1,44,,,,0,0,0,18.01763809713633,76.17157969683751,439.39473032807234,0,1,46,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.842846503505907,64.04672393742807,436.68666688843564,0.0615814991956671
2026-07-31T03:37:03.157Z,28.942796887521546,73.88579613631435,431.0956524287818,0,1,41,24.40128320196385,65.79917668901514,,955.3,0,0,28.004479829942525,61.166363825690446,438.41800019959214,0,1,49,,,,0,0,0,18.0158742874227,76.22442172715377,439.05525729526516,0,1,40,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84256185315532,63.94605154368527,438.41800019959214,0.0615814991956671
2026-07-31T03:37:08.157Z,28.948517198769395,73.96721652268292,431.5860871859037,0,1,40,24.401154881767464,65.69925902011363,,955.3,0,0,28.00403184694828,61.08972744312141,438.07620017963296,0,1,39,,,,0,0,0,18.014286858680432,76.27197955443839,439.74973156573867,0,1,45,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84230566783979,63.85544638931674,438.07620017963296,0.0615814991956671
2026-07-31T03:37:13.157Z,28.953665478892454,74.04049487041463,433.42747846731334,0,1,47,24.40103939359072,65.58933311810226,,955.4,0,0,28.003628662253448,60.99075469880926,440.5685801616697,0,1,53,,,,0,0,0,18.01285817281239,76.31478159899456,440.2747584091648,0,1,44,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84207510105581,63.74990175038506,440.5685801616697,0.0615814991956671
2026-07-31T03:37:18.233Z,28.95829893100321,74.11644538337318,435.784730620582,0,1,50,24.400935454231647,65.49039980629203,,955.4,0,0,28.003265796028103,60.90167922892834,441.1117221455027,0,1,45,,,,0,0,0,18.01157235553115,76.36330343909509,438.64728256824833,0,1,34,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84186759095023,63.65491157534656,441.1117221455027,0.0615814991956671
2026-07-31T03:37:23.157Z,28.962469037902885,74.18480084503587,436.6062575585238,0,1,44,24.400841908808484,65.38135982566283,,955.4,0,0,28.002939216425293,60.80151130603551,442.60054993095247,0,1,50,,,,0,0,0,18.01041511997804,76.40697309518558,437.1825543114235,0,1,34,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.841680831855207,63.5494204178119,442.60054993095247,0.0615814991956671
2026-07-31T03:37:28.157Z,28.9762221341126,74.24632076053229,436.2456318026714,0,1,38,24.40075771792764,65.28322384309655,,955.4,0,0,28.002645294782766,60.71136017543196,444.2404949378572,0,1,51,,,,0,0,0,18.009373607980237,76.42627578566702,439.16429888028114,0,1,50,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,100,50,0,0,0,0,25.84151274866969,63.45447837603072,444.2404949378572,0.0615814991956671
